,,,,,,,,,
Annual Visitation by Park Type or Region for: 2016 By Region,,,,,,,,,
,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year),,,,,,,,,
,,,,,,,,,
Alaska Region,,,,,,,,,
,"Recreation
Visits","Concessioner
Lodging","Concessioner
Camping","Tent
Camping","RV
Campers","Backcountry
Campers","Non-recreation
Overnight Stay",Misc. Overnight Stay,
Aniakchak NM & PRES,100,0,0,0,0,235,0,0,
Bering Land Bridge NPRES,"2,642",0,0,0,0,"1,123",360,0,
Cape Krusenstern NM,"15,000",0,0,0,0,"6,375","5,525",0,
Denali NP & PRES,"587,412",0,0,"50,269","21,257","49,309",0,0,
Gates of the Arctic NP & PRES,"10,047",0,0,0,0,"7,971",0,0,
Glacier Bay NP & PRES,"520,171","11,016",0,908,0,"6,161","6,745","14,289",
Katmai NP & PRES,"37,818","4,216",0,"2,098",0,483,0,0,
Kenai Fjords NP,"346,534",0,0,"1,514",0,648,0,0,
Klondike Gold Rush NHP Alaska,"912,351",0,0,"2,449",0,"5,061",0,0,
Kobuk Valley NP,"15,500",0,0,0,0,"7,050","7,100",0,
Lake Clark NP & PRES,"21,102",0,0,0,0,"6,486",0,0,
Noatak NPRES,"17,000",0,0,0,0,"5,500","5,650",0,
Sitka NHP,"217,141",0,0,0,0,0,0,0,
Wrangell-St. Elias NP & PRES,"79,047",0,0,0,0,0,0,0,
Yukon-Charley Rivers NPRES,"1,146",0,0,0,0,"3,063",440,0,
Alaska Region Total,"2,783,011","15,232",0,"57,238","21,257","99,465","25,820","14,289",
,,,,,,,,,
Intermountain  Region,,,,,,,,,
,"Recreation
Visits","Concessioner
Lodging","Concessioner
Camping","Tent
Camping","RV
Campers","Backcountry
Campers","Non-recreation
Overnight Stay",Misc. Overnight Stay,
Alibates Flint Quarries NM,"8,153",0,0,0,0,0,0,0,
Amistad NRA,"1,164,530",0,0,38,"8,265",0,0,"2,235",
Arches NP,"1,585,718",0,0,"28,046","18,658","1,174",0,"5,959",
Aztec Ruins NM,"57,692",0,0,0,0,0,0,0,
Bandelier NM,"198,478",0,0,"5,704","4,164",665,0,"3,966",
Bent's Old Fort NHS,"31,948",0,0,0,0,0,0,0,
Big Bend NP,"388,290","48,280","11,654","64,593","27,385","41,793",0,"40,422",
Big Thicket NPRES,"192,809",0,0,0,0,"3,339",0,0,
Bighorn Canyon NRA,"259,485",0,0,"2,922","7,002",0,0,0,
Black Canyon of the Gunnison NP,"238,018",0,0,"19,070","11,878","1,936",0,0,
Bryce Canyon NP,"2,365,110","56,844",0,"38,192","62,768","2,684",0,"2,201",
Canyon de Chelly NM,"821,406","23,259","11,173",0,0,745,0,0,
Canyonlands NP,"776,218",0,0,"13,513","8,288","86,227",0,400,
Capitol Reef NP,"1,064,904",0,0,"19,507","20,917","2,996",0,"2,095",
Capulin Volcano NM,"60,132",0,0,0,0,0,0,0,
Carlsbad Caverns NP,"466,773",0,0,0,0,251,0,0,
Casa Grande Ruins NM,"75,752",0,0,0,0,0,0,0,
Cedar Breaks NM,"899,676",0,0,"2,501","1,776",0,0,0,
Chaco Culture NHP,"54,084",0,0,"13,242","7,671",0,0,"2,142",
Chamizal NMEM,"147,937",0,0,0,0,0,0,0,
Chickasaw NRA,"1,676,421",0,0,"91,260","57,773",0,0,"25,228",
Chiricahua NM,"51,277",0,0,"5,966","5,708",0,0,903,
Colorado NM,"391,075",0,0,"16,202","14,601",358,0,0,
Coronado NMEM,"136,075",0,0,0,0,0,0,0,
Curecanti NRA,"982,498",0,0,"18,312","36,220",731,0,"1,034",
Devils Tower NM,"496,210",0,0,"10,850","6,533",0,0,0,
Dinosaur NM,"304,312",0,0,"17,207","13,604","34,591",0,"4,289",
El Malpais NM,"157,440",0,0,0,0,0,0,0,
El Morro NM,"59,422",0,0,"1,704","1,291",0,0,0,
Florissant Fossil Beds NM,"73,564",0,0,0,0,0,0,0,
Fort Bowie NHS,"8,013",0,0,0,0,0,0,0,
Fort Davis NHS,"61,823",0,0,0,0,0,0,0,
Fort Laramie NHS,"57,444",0,0,0,0,0,0,0,
Fort Union NM,"11,953",0,0,0,0,0,0,0,
Fossil Butte NM,"20,737",0,0,0,0,0,0,0,
Gila Cliff Dwellings NM,"41,519",0,0,0,0,0,0,0,
Glacier NP,"2,946,681","99,550",0,"136,599","126,933","38,421",0,789,
Glen Canyon NRA,"3,239,525","71,192","101,518","6,133","8,109","36,871",0,"1,198,527",
Golden Spike NHS,"60,027",0,0,0,0,0,0,0,
Grand Canyon NP,"5,969,811","600,307","24,257","206,626","88,600","330,703",0,"40,891",
Grand Teton NP,"3,270,076","196,577","297,084",0,0,"36,206",0,979,
Grant-Kohrs Ranch NHS,"23,176",0,0,0,0,0,0,0,
Great Sand Dunes NP & PRES,"388,308",0,0,"30,757","17,532","4,508",0,"7,454",
Guadalupe Mountains NP,"181,839",0,0,"10,654","6,254","2,954",0,"1,866",
Hovenweep NM,"42,862",0,0,"1,184","1,211",0,0,0,
Hubbell Trading Post NHS,"67,276",0,0,0,0,0,0,0,
"John D. Rockefeller, Jr. MEM PKWY","1,411,819","4,911","8,352",0,0,"1,572",0,900,
Lake Meredith NRA,"1,025,613",0,0,"6,961","31,132",0,0,0,
Little Bighorn Battlefield NM,"332,328",0,0,0,0,0,0,0,
Lyndon B. Johnson NHP,"140,303",0,0,0,0,0,0,0,
Manhattan Project NHP,"104,715",0,0,0,0,0,0,0,
Mesa Verde NP,"583,527","26,800",0,"44,925","12,073",0,0,287,
Montezuma Castle NM,"392,168",0,0,0,0,0,0,0,
Natural Bridges NM,"101,843",0,0,"3,902","3,113",0,0,0,
Navajo NM,"65,705",0,0,"1,483","1,531",363,0,150,
Organ Pipe Cactus NM,"234,186",0,0,"7,188","19,926",64,0,407,
Padre Island NS,"634,012",0,0,"19,917","33,263","13,632",0,523,
Palo Alto Battlefield NHP,"58,556",0,0,0,0,0,0,0,
Pecos NHP,"39,715",0,0,0,0,0,0,0,
Petrified Forest NP,"643,274",0,0,0,0,486,0,0,
Petroglyph NM,"124,177",0,0,0,0,0,0,0,
Pipe Spring NM,"46,710",0,0,0,0,0,0,0,
Rainbow Bridge NM,"86,369",0,0,0,0,0,0,0,
Rio Grande W&SR,463,0,0,0,0,"1,894",0,0,
Rocky Mountain NP,"4,517,585",0,0,"120,981","57,321","45,223",0,"5,140",
Saguaro NP,"820,426",0,0,0,0,"1,868",0,0,
Salinas Pueblo Missions NM,"32,414",0,0,0,0,0,0,0,
San Antonio Missions NHP,"1,358,911",0,0,0,0,0,0,0,
Sand Creek Massacre NHS,"6,847",0,0,0,0,0,0,0,
Sunset Crater Volcano NM,"60,233",0,0,0,0,0,0,0,
Timpanogos Cave NM,"91,261",0,0,0,0,0,0,0,
